kombinasi,n_fitur,model,fold,f1_macro,f1_AI,akurasi,presisi_AI,recall_AI,bal_acc,roc_auc
sty+tfidf,2,XGBoost,1,0.9615,0.962,0.9615,0.9541,0.97,0.9615,0.9942
sty+tfidf,2,XGBoost,2,0.9632,0.9633,0.9632,0.9633,0.9633,0.9632,0.9935
sty+tfidf,2,XGBoost,3,0.959,0.9591,0.959,0.9599,0.9583,0.959,0.9935
sty+tfidf,2,XGBoost,4,0.9657,0.966,0.9657,0.9605,0.9717,0.9657,0.995
sty+tfidf,2,XGBoost,5,0.9523,0.9519,0.9523,0.9641,0.94,0.9524,0.9938
sty+tfidf,2,CatBoost,1,0.954,0.9548,0.954,0.9417,0.9683,0.954,0.9936
sty+tfidf,2,CatBoost,2,0.9557,0.9559,0.9557,0.9536,0.9583,0.9557,0.9925
sty+tfidf,2,CatBoost,3,0.954,0.9543,0.954,0.9519,0.9567,0.954,0.9927
sty+tfidf,2,CatBoost,4,0.964,0.9645,0.964,0.9558,0.9733,0.964,0.9948
sty+tfidf,2,CatBoost,5,0.9548,0.9547,0.9548,0.9611,0.9483,0.9548,0.9926
sty+bert,2,Random Forest,1,0.9482,0.9482,0.9482,0.9513,0.945,0.9482,0.9899
sty+bert,2,Random Forest,2,0.944,0.9439,0.944,0.9479,0.94,0.944,0.9872
sty+bert,2,Random Forest,3,0.9448,0.9446,0.9448,0.951,0.9383,0.9448,0.9895
sty+bert,2,Random Forest,4,0.9473,0.9477,0.9473,0.9438,0.9517,0.9473,0.9908
sty+bert,2,Random Forest,5,0.9406,0.9406,0.9406,0.9445,0.9367,0.9406,0.9865
sty+bert,2,XGBoost,1,0.9657,0.9659,0.9657,0.9651,0.9667,0.9657,0.9962
sty+bert,2,XGBoost,2,0.9674,0.9675,0.9674,0.9667,0.9683,0.9674,0.996
sty+bert,2,XGBoost,3,0.964,0.9638,0.964,0.9728,0.955,0.9641,0.9955
sty+bert,2,XGBoost,4,0.9749,0.975,0.9749,0.9734,0.9767,0.9749,0.9976
sty+bert,2,XGBoost,5,0.9623,0.9623,0.9623,0.9664,0.9583,0.9624,0.9962
sty+bert,2,CatBoost,1,0.9674,0.9676,0.9674,0.9636,0.9717,0.9674,0.9963
sty+bert,2,CatBoost,2,0.9707,0.9708,0.9707,0.9716,0.97,0.9707,0.9958
sty+bert,2,CatBoost,3,0.9682,0.9682,0.9682,0.9731,0.9633,0.9682,0.9951
sty+bert,2,CatBoost,4,0.9783,0.9785,0.9783,0.972,0.985,0.9782,0.9972
sty+bert,2,CatBoost,5,0.9615,0.9617,0.9615,0.9601,0.9633,0.9615,0.9954
sty+perp,2,Random Forest,1,0.9724,0.9723,0.9724,0.9797,0.965,0.9724,0.9959
sty+perp,2,Random Forest,2,0.9758,0.9757,0.9758,0.9831,0.9683,0.9758,0.9952
sty+perp,2,Random Forest,3,0.9666,0.9664,0.9666,0.973,0.96,0.9666,0.9956
sty+perp,2,Random Forest,4,0.9766,0.9765,0.9766,0.9847,0.9683,0.9766,0.9949
sty+perp,2,Random Forest,5,0.9724,0.9722,0.9724,0.9846,0.96,0.9724,0.9969
sty+perp,2,XGBoost,1,0.9716,0.9716,0.9716,0.9748,0.9683,0.9716,0.9961
sty+perp,2,XGBoost,2,0.9741,0.9741,0.9741,0.9782,0.97,0.9741,0.9948
sty+perp,2,XGBoost,3,0.9657,0.9658,0.9657,0.9666,0.965,0.9657,0.9949
sty+perp,2,XGBoost,4,0.9774,0.9775,0.9774,0.9767,0.9783,0.9774,0.9965
sty+perp,2,XGBoost,5,0.9707,0.9706,0.9707,0.9796,0.9617,0.9707,0.9967
sty+perp,2,CatBoost,1,0.9758,0.9757,0.9758,0.9798,0.9717,0.9758,0.9969
sty+perp,2,CatBoost,2,0.9758,0.9757,0.9758,0.9798,0.9717,0.9758,0.9961
sty+perp,2,CatBoost,3,0.9682,0.9683,0.9682,0.9699,0.9667,0.9682,0.9952
sty+perp,2,CatBoost,4,0.9758,0.9759,0.9758,0.9735,0.9783,0.9757,0.9969
sty+perp,2,CatBoost,5,0.9724,0.9723,0.9724,0.9797,0.965,0.9724,0.9976
tfidf+bert,2,Random Forest,1,0.9406,0.9409,0.9406,0.9401,0.9417,0.9406,0.9857
tfidf+bert,2,Random Forest,2,0.9448,0.9451,0.9448,0.9435,0.9467,0.9448,0.987
tfidf+bert,2,Random Forest,3,0.9423,0.9436,0.9423,0.9262,0.9617,0.9422,0.9798
tfidf+bert,2,Random Forest,4,0.9473,0.9481,0.9473,0.9366,0.96,0.9473,0.9893
tfidf+bert,2,Random Forest,5,0.9448,0.9453,0.9448,0.9406,0.95,0.9447,0.9863
tfidf+bert,2,XGBoost,1,0.959,0.9589,0.959,0.9662,0.9517,0.9591,0.9941
tfidf+bert,2,XGBoost,2,0.9632,0.9635,0.9632,0.9603,0.9667,0.9632,0.9939
tfidf+bert,2,XGBoost,3,0.9649,0.9652,0.9649,0.9589,0.9717,0.9649,0.993
tfidf+bert,2,XGBoost,4,0.9732,0.9736,0.9732,0.9656,0.9817,0.9732,0.9979
tfidf+bert,2,XGBoost,5,0.9649,0.9652,0.9649,0.9604,0.97,0.9648,0.9949
tfidf+bert,2,CatBoost,1,0.959,0.9589,0.959,0.9662,0.9517,0.9591,0.9945
tfidf+bert,2,CatBoost,2,0.9615,0.962,0.9615,0.9526,0.9717,0.9615,0.994
tfidf+bert,2,CatBoost,3,0.9657,0.9661,0.9657,0.9589,0.9733,0.9657,0.9925
tfidf+bert,2,CatBoost,4,0.9774,0.9776,0.9774,0.9736,0.9817,0.9774,0.9976
tfidf+bert,2,CatBoost,5,0.9707,0.971,0.9707,0.9669,0.975,0.9707,0.9954
tfidf+perp,2,Random Forest,1,0.9523,0.9525,0.9523,0.9533,0.9517,0.9523,0.9921
tfidf+perp,2,Random Forest,2,0.9607,0.9606,0.9607,0.9663,0.955,0.9607,0.9935
tfidf+perp,2,Random Forest,3,0.9515,0.9521,0.9515,0.9443,0.96,0.9515,0.9852
tfidf+perp,2,Random Forest,4,0.954,0.9547,0.954,0.9445,0.965,0.954,0.9927
tfidf+perp,2,Random Forest,5,0.9548,0.9545,0.9548,0.9659,0.9433,0.9549,0.9912
tfidf+perp,2,XGBoost,1,0.9615,0.9619,0.9615,0.9571,0.9667,0.9615,0.9933
tfidf+perp,2,XGBoost,2,0.9666,0.9667,0.9666,0.9651,0.9683,0.9665,0.9949
tfidf+perp,2,XGBoost,3,0.9582,0.9585,0.9582,0.9553,0.9617,0.9582,0.9926
tfidf+perp,2,XGBoost,4,0.9615,0.9619,0.9615,0.9556,0.9683,0.9615,0.9959
tfidf+perp,2,XGBoost,5,0.9598,0.9599,0.9598,0.9631,0.9567,0.9598,0.9952
tfidf+perp,2,CatBoost,1,0.9557,0.9559,0.9557,0.9551,0.9567,0.9557,0.993
tfidf+perp,2,CatBoost,2,0.9666,0.9668,0.9666,0.9636,0.97,0.9665,0.9939
tfidf+perp,2,CatBoost,3,0.9607,0.961,0.9607,0.957,0.965,0.9607,0.9915
tfidf+perp,2,CatBoost,4,0.9565,0.9571,0.9565,0.9477,0.9667,0.9565,0.9944
tfidf+perp,2,CatBoost,5,0.959,0.9589,0.959,0.9662,0.9517,0.959,0.9932
bert+perp,2,Random Forest,1,0.9507,0.9507,0.9507,0.9531,0.9483,0.9507,0.9926
bert+perp,2,Random Forest,2,0.9599,0.9595,0.9599,0.971,0.9483,0.9599,0.9938
bert+perp,2,Random Forest,3,0.9565,0.9568,0.9565,0.9536,0.96,0.9565,0.9925
bert+perp,2,Random Forest,4,0.9707,0.9708,0.9707,0.9732,0.9683,0.9707,0.9958
bert+perp,2,Random Forest,5,0.9565,0.9559,0.9565,0.9724,0.94,0.9566,0.9941
bert+perp,2,XGBoost,1,0.9699,0.9701,0.9699,0.9669,0.9733,0.9699,0.9969
bert+perp,2,XGBoost,2,0.9783,0.9783,0.9783,0.9799,0.9767,0.9783,0.9975
bert+perp,2,XGBoost,3,0.9766,0.9767,0.9766,0.9751,0.9783,0.9766,0.9974
bert+perp,2,XGBoost,4,0.9841,0.9842,0.9841,0.9818,0.9867,0.9841,0.9986
bert+perp,2,XGBoost,5,0.9757,0.9757,0.9757,0.9831,0.9683,0.9758,0.9969
bert+perp,2,CatBoost,1,0.9716,0.9718,0.9716,0.9685,0.975,0.9716,0.997
bert+perp,2,CatBoost,2,0.9833,0.9832,0.9833,0.9899,0.9767,0.9833,0.997
bert+perp,2,CatBoost,3,0.9724,0.9725,0.9724,0.9717,0.9733,0.9724,0.9969
bert+perp,2,CatBoost,4,0.9808,0.9809,0.9808,0.9784,0.9833,0.9808,0.9981
bert+perp,2,CatBoost,5,0.9682,0.9682,0.9682,0.9731,0.9633,0.9682,0.9965
sty+tfidf+bert,3,Random Forest,1,0.954,0.954,0.954,0.958,0.95,0.954,0.991
sty+tfidf+bert,3,Random Forest,2,0.9523,0.9522,0.9523,0.9578,0.9467,0.9524,0.9892
sty+tfidf+bert,3,Random Forest,3,0.9507,0.9508,0.9507,0.9516,0.95,0.9507,0.9912
sty+tfidf+bert,3,Random Forest,4,0.9599,0.9601,0.9599,0.9585,0.9617,0.9599,0.9927
sty+tfidf+bert,3,Random Forest,5,0.9431,0.9429,0.9431,0.9508,0.935,0.9431,0.99
sty+tfidf+bert,3,XGBoost,1,0.9716,0.9716,0.9716,0.9748,0.9683,0.9716,0.997
sty+tfidf+bert,3,XGBoost,2,0.9691,0.969,0.9691,0.9731,0.965,0.9691,0.9963
sty+tfidf+bert,3,XGBoost,3,0.9699,0.9699,0.9699,0.9716,0.9683,0.9699,0.9963
sty+tfidf+bert,3,XGBoost,4,0.9774,0.9776,0.9774,0.9751,0.98,0.9774,0.9979
sty+tfidf+bert,3,XGBoost,5,0.9699,0.9698,0.9699,0.9747,0.965,0.9699,0.997
sty+tfidf+bert,3,CatBoost,1,0.9691,0.9692,0.9691,0.9684,0.97,0.9691,0.9965
sty+tfidf+bert,3,CatBoost,2,0.9716,0.9717,0.9716,0.9717,0.9717,0.9716,0.9957
sty+tfidf+bert,3,CatBoost,3,0.9657,0.9659,0.9657,0.9651,0.9667,0.9657,0.9956
sty+tfidf+bert,3,CatBoost,4,0.9766,0.9768,0.9766,0.9719,0.9817,0.9766,0.9974
sty+tfidf+bert,3,CatBoost,5,0.9724,0.9723,0.9724,0.9781,0.9667,0.9724,0.9965
sty+tfidf+perp,3,Random Forest,1,0.9716,0.9715,0.9716,0.978,0.965,0.9716,0.9967
sty+tfidf+perp,3,Random Forest,2,0.9716,0.9715,0.9716,0.9764,0.9667,0.9716,0.9956
sty+tfidf+perp,3,Random Forest,3,0.9691,0.9688,0.9691,0.9812,0.9567,0.9691,0.9953
sty+tfidf+perp,3,Random Forest,4,0.9741,0.9741,0.9741,0.9782,0.97,0.9741,0.9958
sty+tfidf+perp,3,Random Forest,5,0.9648,0.9644,0.9649,0.981,0.9483,0.9649,0.9961
sty+tfidf+perp,3,XGBoost,1,0.9799,0.9799,0.9799,0.9832,0.9767,0.9799,0.998
sty+tfidf+perp,3,XGBoost,2,0.9833,0.9832,0.9833,0.9899,0.9767,0.9833,0.9974
sty+tfidf+perp,3,XGBoost,3,0.9758,0.9758,0.9758,0.9782,0.9733,0.9758,0.997
sty+tfidf+perp,3,XGBoost,4,0.9841,0.9842,0.9841,0.985,0.9833,0.9841,0.9982
